Data;DB44;DB44S;DC35A;DC36A;DC36G;DFN41;DFN43;DFN44;DFX41;DFX43;DFX44;EB100;EB100C;EB10C;EB10K;FE19;FE23;FE27;FEI19;FEI19T;FEI23;FEI23T;FEI27;FEI27T;GrandTotal;H330;H440;H550;HI330;HI330T;HI440;HI440T;HI550;HI550T;IB44S;IB45;IB45S;IB51;IB51S;IB54;IB54B;IB54S;IB55;IB55S;IB6;IB6B;IB6S;IB7;IB7B;IB7BT;IB7S;IB7ST;IB7T;IF41;IF41 ;IF41B;IF41S;IF41S ;IF43;IF43B;IF43S;IF44;IF44 ;IF44S ;IF45;IF45S;IF46;IF46S;IF55;IF55B;IF55S;IF56B;IM7;IM7B;IM7S;IM8;IM8B;IM8IS;IM8S;IQ8IB;IQ8IS;IQ8S;IQ8WS;IT55;IT55S;IT56;IT56S;IT70;IT70B;IT70S;IW43S;IW45S;IW46S;RE120;RE31;RE32;RE32G;RE80;RFE39;RowLabels;TC41;TC41S;TC42;TC42S;TC44;TC44S;TC45;TC45S;TC56;TC56S;TF38;TF38S;TF39;TF39S;TF40;TF40S;TF41;TF41B;TF41S;TF44;TF44B;TF44S;TF55;TF55S;TF56;TF56S;TF70;TF70S;TF71;TF71B;TF71S;Miniload;Unitload
30/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;108;0;0;0;0;0;0;0;0;789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1141;0;0;897;0;0;81;0;0;0;0;975;0;0;0;0;0;0;0;0;0;0;1;4;451;0;3;3;460;0;0;0;0;0;0;0;0;0;0;875;0;0;0;0;667;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;980;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;846;6399;1221
29/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;795;0;0;0;0;0;0;0;0;1135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1427;0;0;1197;0;1;4;0;0;0;0;1273;0;0;0;0;0;0;0;0;0;0;0;4;442;0;397;9;76;0;0;1;0;0;0;0;0;0;1;1181;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;1187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1169;6019;1327
28/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5;0;0;668;0;0;0;0;1;0;0;0;1127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;1359;0;0;1201;0;0;3;0;0;0;0;1265;0;0;0;0;0;0;0;0;0;0;0;9;355;0;372;79;71;0;0;0;2;0;0;0;0;0;0;1351;0;0;0;0;0;0;0;0;0;0;0;0;1273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;949;5888;1226
27/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;815;0;0;0;0;0;0;0;0;1123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1159;0;0;1383;0;0;1;0;0;0;0;1281;0;0;0;0;0;1;0;0;0;0;0;240;76;0;0;51;496;0;0;0;0;0;0;0;0;0;0;1381;0;0;0;0;0;0;0;0;0;0;0;0;1248;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;558;0;352;5245;1185
25/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;766;0;0;0;0;0;0;1;0;1046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;0;0;885;0;0;996;0;0;273;0;0;0;0;1123;0;0;0;0;0;0;0;0;0;0;0;324;0;0;3;0;496;0;0;0;7;0;0;0;0;0;2;884;0;0;0;0;0;0;0;0;0;0;0;0;47;1080;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;594;0;5;5667;1330
24/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;691;1;0;0;48;0;0;0;0;0;0;3;0;1137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1132;13;14;0;0;5;1287;0;0;0;0;1298;0;0;0;0;0;0;0;0;0;0;2;321;1;0;2;1;436;0;0;10;46;0;0;0;0;3;20;1178;0;0;2;0;0;0;0;0;0;0;0;0;8;1259;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;0;801;3;3;5170;1306
23/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;814;1;1;1;0;0;0;0;0;3;0;0;0;1092;0;0;0;0;1;8;0;0;0;0;0;0;1;0;467;0;0;640;0;0;0;0;3;1349;0;0;0;1;1410;0;1;0;0;0;1;0;0;0;0;5;327;0;0;0;16;430;0;0;61;0;0;0;0;0;22;1258;39;0;0;0;0;0;0;0;0;0;0;0;0;802;187;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;935;0;0;5651;1205
22/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;776;59;15;5;4;2;0;0;0;0;14;0;0;0;1057;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1027;9;0;0;0;0;0;0;310;701;0;0;0;0;1430;0;11;0;0;0;60;0;0;0;0;5;315;0;0;4;30;416;0;0;0;0;0;0;0;0;425;892;0;0;0;0;0;0;0;0;0;0;0;0;0;946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;856;0;0;5483;1102
17/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;780;2;73;2;6;0;0;0;0;0;0;0;45;0;878;0;0;0;0;1;5;0;0;0;0;0;1;0;0;1286;1;0;1;0;0;0;0;0;0;0;0;0;0;1373;0;8;0;0;55;1028;0;0;0;0;419;3;0;0;278;0;197;0;0;0;0;0;0;0;0;1229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;926;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;516;388;8;5912;1274
16/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;552;242;0;0;0;0;0;0;0;0;1211;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;723;561;0;1;0;0;0;0;0;0;0;0;0;0;984;0;474;0;0;1096;2;0;0;0;0;455;0;1;0;431;0;9;0;0;0;0;0;0;0;0;1367;1;0;0;0;0;0;1;0;0;0;0;0;0;0;797;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;912;3;5908;1379
