Data;BFX85;DB44;DB44S;DC35A;DC36A;DC36G;DC44;DF44;DF44S;DFN41;DFN43;DFN44;DFX41;DFX43;DFX44;DM84X;DM85X;DM86V;DM86X;DW44S;EB100;EB10C;EB10K;FE19;FE23;FE27;FEI19;FEI19T;FEI23;FEI23T;FEI27;FEI27T;H330;H440;H550;HI330;HI330T;HI440;HI440T;HI550;HI550T;IB44S;IB45;IB45S;IB51;IB51S;IB54;IB54B;IB54S;IB55;IB55S;IB6;IB6B;IB6S;IB7;IB7B;IB7BT;IB7S;IB7ST;IB7T;IF41;IF41B;IF41S;IF43;IF43B;IF43S;IF44;IF44S;IF44S ;IF45;IF45S;IF46;IF46S;IF55;IF55B;IF55S;IF56B;IM7;IM7B;IM7S;IM8;IM8B;IM8IS;IM8S;IQ8IB;IQ8IS;IQ8S;IQ8WS;IT55;IT55S;IT56;IT56S;IT70;IT70B;IT70S;IW43S;IW45S;IW46S;RE120;RE31;RE32;RE32G;RE80;RFE39;TC41;TC41S;TC42;TC42S;TC44;TC44S;TC45;TC45S;TC56;TC56S;TF38;TF38S;TF39;TF39S;TF40;TF40S;TF41;TF41B;TF41S;TF42;TF42S;TF43;TF44;TF44B;TF44S;TF55;TF55S;TF56;TF56S;TF70;TF70S;TF71;TF71B;TF71S;TW42S;Miniload;Unitload
20/05/2026;0;0;0;1233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;536;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;714;0;0;89;982;0;0;0;0;0;0;0;0;683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1382;0;0;0;1233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1152;0;456;0;2907;8559
19/05/2026;0;0;0;1235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;645;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;710;0;4;0;1072;0;0;0;0;0;0;0;0;658;0;8;0;0;0;0;0;0;0;0;0;0;0;3;1485;0;0;4;1225;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1043;0;516;0;5534;8259
18/05/2026;0;0;0;1256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;475;0;0;0;0;0;0;0;0;6;1;0;0;0;1;1137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;712;0;495;0;579;0;0;0;0;0;0;0;0;524;0;0;0;0;0;0;41;0;0;0;0;0;0;291;1128;0;0;102;1182;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1074;0;720;0;5134;8463
17/05/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;288;7242
16/05/2026;0;0;0;1301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;881;0;1;0;0;0;0;0;0;0;0;0;0;0;578;0;0;0;1132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;233;0;133;491;0;1186;0;3673;1155
15/05/2026;0;0;0;997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;1;0;353;0;532;0;0;0;0;0;0;0;0;0;0;855;0;3;0;0;0;0;898;0;0;0;0;0;0;1288;0;0;0;1191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;472;608;0;970;0;5537;9390
14/05/2026;0;0;0;935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;83;0;0;0;0;0;2;2;359;0;551;1;1;1;0;0;0;0;0;0;0;33;0;1350;0;0;0;0;883;0;0;0;0;0;0;913;0;0;0;1077;0;0;0;81;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;651;0;0;644;0;5920;9459
13/05/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1182;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1120;0;0;0;0;0;3;43;316;0;556;1;3;0;0;0;0;0;0;0;0;0;0;1274;0;0;0;0;843;0;0;0;0;0;0;1319;4;0;0;1211;0;0;0;908;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;399;0;0;459;0;5908;9855
12/05/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1137;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;1345;6;0;0;0;0;3;353;0;0;519;0;6;3;0;0;15;0;0;0;0;0;0;1211;0;0;0;0;806;0;0;0;0;0;0;2477;0;0;0;0;0;0;0;570;382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;777;0;0;0;0;5957;10911
11/05/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;949;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;6;0;88;0;0;0;0;0;0;5;0;0;0;0;0;1;0;4;0;0;1167;13;0;0;0;0;94;214;0;0;368;3;47;16;0;0;23;0;0;0;0;0;0;1100;0;0;0;0;920;0;0;0;0;0;0;2278;0;0;0;0;0;0;0;0;991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;818;1;0;5;0;5397;10020
