NC Type;Reason Code;Root Cause;Line;Work Center;Work Center;Equipment;Order #;Product #;Description;Data_Normalizada;Hora_Normalizada;Turno;Obs Turno;Temperatura (°C) Inst.;Temperatura (°C) Máx.;Temperatura (°C) Mín.;Umidade (%) Inst.;Umidade (%) Máx.;Umidade (%) Mín.;Pto. Orvalho (°C) Inst.;Pto. Orvalho (°C) Máx.;Pto. Orvalho (°C) Mín.;Pressão (hPa) Inst.;Pressão (hPa) Máx.;Pressão (hPa) Mín.;Pressão (hPa) Vel. (m/s);Vento Dir. (°);Vento Raj. (m/s);Radiação Kj/m²;Chuva mm
Insp;REPROVADO TESTE ELÉTRICO AUTOMÁTICO;SEM REGISTRO TESTE ELÉTRICO;L4;Gas Load and Test;GLT;2L4WC10_509_5300;310160576;920407755;HI330;05/jan/26;6:29 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SÁIDA RETRABALHO INSPEÇÃO FH / FV L4;SEM REGISTRO TESTE DELTA T;L4;Gas Load and Test;GLT;2L4WC10_509_5710;310160576;920407755;HI330;05/jan/26;6:44 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SÁIDA RETRABALHO INSPEÇÃO FH / FV L4;TERMOPAR DESNONECTADO;L4;Internal Components;IC;2L4WC10_509_5710;310160576;920407755;HI330;05/jan/26;6:51 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA ESPUMAÇÃO;AMASSADO;L5;Cabinet Assembly;CA;2L5WC05_504_3420;310160572;900277738;IM8S;05/jan/26;6:55 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;REPROVADO T. SENSOR;SOLTO;L1;Performance Test;PT;1L1WC10_509_5801;310160485;924263164;TF70S;05/jan/26;7:03 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;FALHA FUNCIONAL TESTE DELTA T LINHA 4;TERMOPAR DESNONECTADO;L4;Gas Load and Test;GLT;2L4WC10_509_5340;310160576;920407755;HI330;05/jan/26;7:08 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA CARROSSEL VÁCUO;AMASSADO;L5;Refrigerator Door;RD;2L5WC07_506_4220;310160572;900277738;IM8S;05/jan/26;7:08 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA CARROSSEL VÁCUO;DEFORMADO;L5;Cabinet Assembly;CA;2L5WC07_506_4220;310160572;900277738;IM8S;05/jan/26;7:09 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA TABLADO PISO INFERIOR L4;DESLOCADO;L4;External Cabinet;EC;2L4WC10_509_5630;310160576;920407755;HI330;05/jan/26;7:12 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA RETRABALHO ANTES TAMPOGRAFIA L4;BOMBA DESLIGADA;L4;Internal Components;IC;2L4WC10_509_5410;310160576;920407755;HI330;05/jan/26;7:15 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;FALHA FUNCIONAL TESTE DELTA T LINHA 4;TERMOPAR DESNONECTADO;L4;Gas Load and Test;GLT;2L4WC10_509_5340;310160576;920407755;HI330;05/jan/26;7:18 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;REPROVADO PERFORMANCE (T. CARGA);FIAÇÃO INVERTIDA;L1;Internal Components;IC;1L1WC10_509_7001;310160485;924263164;TF70S;05/jan/26;7:22 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA CARROSSEL VÁCUO;BOMBA DESLIGADA;L5;Gas Load and Test;GLT;2L5WC07_506_4220;310160572;900277738;IM8S;05/jan/26;7:27 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SÁIDA RETRABALHO INSPEÇÃO FH / FV L4;VAZAMENTO DE PU;L4;External Cabinet;EC;2L4WC10_509_5710;310160576;920407755;HI330;05/jan/26;7:32 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;INSPEÇÃO VISUAL NÃO CONFORME;AMASSADO REG 2 - REPINTURA;L5;Cabinet Assembly;CA;2L5WC11_510_6215;310160572;900277738;IM8S;05/jan/26;7:36 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA ESPUMAÇÃO;VAZAMENTO DE PU;L1;Foaming Process;FP;1L1WC05_504_3210;310160485;924263164;TF70S;05/jan/26;7:39 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA CARROSSEL VÁCUO;FALTANDO SOLDA;L5;Gas Load and Test;GLT;2L5WC07_506_4220;310160572;900277738;IM8S;05/jan/26;7:42 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;REPROVADO PERFORMANCE (T. CARGA);RESET PLACA POTÊNCIA;L1;Internal Components;IC;1L1WC10_509_7300;310160485;924263164;TF70S;05/jan/26;7:49 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA TABLADO PISO INFERIOR L4;SAIDA TABLADO PISO INFERIOR L4;L4;Gas Load and Test;GLT;2L4WC10_509_5630;310160576;920407755;HI330;05/jan/26;7:50 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA TABLADO PISO INFERIOR L4;RISCADO;L4;Freezer Door;FD;2L4WC10_509_5630;310160576;920407755;HI330;05/jan/26;7:54 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA TABLADO PISO INFERIOR L4;RISCADO;L4;Internal Components;IC;2L4WC10_509_5630;310160576;920407755;HI330;05/jan/26;8:09 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA ESPUMAÇÃO;FURACAO DESLOCADA;L5;Cabinet Assembly;CA;2L5WC05_504_3420;310160572;900277738;IM8S;05/jan/26;8:10 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA TABLADO FINAL LINHA 5;AMASSADO;L5;Freezer Door;FD;2L5WC11_510_6022;310160572;900277738;IM8S;05/jan/26;8:20 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;REPROVADO PERFORMANCE (T. CARGA);VAZAMENTO DE GÁS;L5;Gas Load and Test;GLT;2L5WC10_509_5612;310160360;900277743;IM8B;05/jan/26;8:24 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA ESPUMAÇÃO;VAZAMENTO DE PU;L5;Cabinet Assembly;CA;2L5WC05_504_3420;310160572;900277738;IM8S;05/jan/26;8:27 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;INSPEÇÃO VISUAL NÃO CONFORME;VAZAMENTO DE PU;L4;External Cabinet;EC;2L4WC10_509_5620;310160576;920407755;HI330;05/jan/26;8:34 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA RETRABALHO ANTES TAMPOGRAFIA L4;FALHA CONEXÃO TI;L4;Internal Components;IC;2L4WC10_509_5410;310160576;920407755;HI330;05/jan/26;8:35 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SÁIDA RETRABALHO INSPEÇÃO FH / FV L4;CRAVAMENTO;L4;External Cabinet;EC;2L4WC10_509_5710;310160576;920407755;HI330;05/jan/26;8:35 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;INSPEÇÃO VISUAL NÃO CONFORME;INSPEÇÃO VISUAL NÃO CONFORME;L2;End of Line;EL;1L2WC11_510_8410;310160580;924263002;IB7S;05/jan/26;8:51 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;REPROVADO PERFORMANCE (T. CARGA);REPROVADO FALHA TERMOPAR;L1;Performance Test;PT;1L1WC10_509_7400;310160485;924263164;TF70S;05/jan/26;9:04 AM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
